Strain,Treatment,Time,Sequencing_Method
JKD6008,Control,2 hr,mRNA
JKD6008,Ceftobiprole,2 hr,mRNA
JKD6008,Linezolid,2 hr,mRNA
JKD6008,Tigecycline,2 hr,mRNA
JKD6008,Vancomycin,2 hr,mRNA
JKD6008,Control,6 hr,mRNA
JKD6008,Ceftobiprole,6 hr,mRNA
JKD6008,Linezolid,6 hr,mRNA
JKD6008,Tigecycline,6 hr,mRNA
JKD6008,Vancomycin,6 hr,mRNA
JKD6009,Control,2 hr,mRNA
JKD6009,Ceftobiprole,2 hr,mRNA
JKD6009,Linezolid,2 hr,mRNA
JKD6009,Tigecycline,2 hr,mRNA
JKD6009,Vancomycin,2 hr,mRNA
JKD6009,Control,6 hr,mRNA
JKD6009,Ceftobiprole,6 hr,mRNA
JKD6009,Linezolid,6 hr,mRNA
JKD6009,Tigecycline,6 hr,mRNA
JKD6009,Vancomycin,6 hr,mRNA
JKD6008,Control,2 hr,sRNA
JKD6008,Ceftobiprole,2 hr,sRNA
JKD6008,Linezolid,2 hr,sRNA
JKD6008,Tigecycline,2 hr,sRNA
JKD6008,Vancomycin,2 hr,sRNA
JKD6008,Control,6 hr,sRNA
JKD6008,Ceftobiprole,6 hr,sRNA
JKD6008,Linezolid,6 hr,sRNA
JKD6008,Tigecycline,6 hr,sRNA
JKD6008,Vancomycin,6 hr,sRNA
JKD6009,Control,2 hr,sRNA
JKD6009,Ceftobiprole,2 hr,sRNA
JKD6009,Linezolid,2 hr,sRNA
JKD6009,Tigecycline,2 hr,sRNA
JKD6009,Vancomycin,2 hr,sRNA
JKD6009,Control,6 hr,sRNA
JKD6009,Ceftobiprole,6 hr,sRNA
JKD6009,Linezolid,6 hr,sRNA
JKD6009,Tigecycline,6 hr,sRNA
JKD6009,Vancomycin,6 hr,sRNA
