"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","MPH1_ASPFC","B0XMV6","Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)","451804","B0XMV6","DS499594","EDP55648.1","mph1","mph1 AFUB_003450","nucleus [GO:0005634]; 3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA repair [GO:0006281]","GO:0003677; GO:0005524; GO:0005634; GO:0006281; GO:0016887; GO:0043138",NA,NA,NA
"2","PGLRA_ASPFC","B0Y4Z4","Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)","451804","B0Y4Z4","DS499598","EDP50743.1","pgaA","pgaA pecA AFUB_070830","extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]","GO:0004650; GO:0005576; GO:0045490; GO:0071555",NA,NA,NA
"3","PGLRB_ASPFC","B0YAH0","Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)","451804","B0YAH0","DS499600","EDP49013.1","pgaB","pgaB pecB AFUB_084640","extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]","GO:0004650; GO:0005576; GO:0045490; GO:0071555",NA,NA,NA
"4","PGLRX_ASPFC","B0YDE8","Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)","451804","B0YDE8","DS499602","EDP47682.1","pgaX","pgaX AFUB_095310","extracellular region [GO:0005576]; galacturan 1,4-alpha-galacturonidase activity [GO:0047911]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]","GO:0004650; GO:0005576; GO:0045490; GO:0047911; GO:0071555",NA,NA,NA
"5","PGLR_ASPFC","B0XPA1","Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)","451804","B0XPA1","DS499594","EDP56939.1","AFUB_016610","AFUB_016610","extracellular region [GO:0005576]; polygalacturonase activity [GO:0004650]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]","GO:0004650; GO:0005576; GO:0045490; GO:0071555",NA,NA,NA
"6","PHIA_ASPFC","B0Y004","Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)","451804","B0Y004","EDP53342.1","EDP53342.1","phiA","phiA AFUB_045170","extracellular region [GO:0005576]; sporulation resulting in formation of a cellular spore [GO:0030435]","GO:0005576; GO:0030435",NA,NA,NA
"7","PHIA_ASPFC","B0Y004","Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)","451804","B0Y004","DS499596","EDP53342.1","phiA","phiA AFUB_045170","extracellular region [GO:0005576]; sporulation resulting in formation of a cellular spore [GO:0030435]","GO:0005576; GO:0030435",NA,NA,NA
"8","PLYC_ASPFC","B0XMA2","Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)","451804","B0XMA2","DS499594","EDP55346.1","plyC","plyC AFUB_000360","extracellular region [GO:0005576]; metal ion binding [GO:0046872]; pectate lyase activity [GO:0030570]; cell wall organization [GO:0071555]; polysaccharide catabolic process [GO:0000272]","GO:0000272; GO:0005576; GO:0030570; GO:0046872; GO:0071555",NA,NA,NA
"9","PEPA_ASPFC","B0Y1V8","Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)","451804","B0Y1V8","DS499597","EDP52067.1","pepA","pepA AFUB_061010","extracellular region [GO:0005576]; aspartic-type endopeptidase activity [GO:0004190]","GO:0004190; GO:0005576",NA,NA,NA
"10","PELA_ASPFC","B0XT36","Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)","451804","B0XT36","DS499595","EDP53745.1","pelA","pelA AFUB_017880","extracellular region [GO:0005576]; pectate lyase activity [GO:0030570]; pectin lyase activity [GO:0047490]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]","GO:0005576; GO:0030570; GO:0045490; GO:0047490; GO:0071555",NA,NA,NA
"11","PELB_ASPFC","B0YCL3","Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)","451804","B0YCL3","DS499601","EDP48344.1","pelB","pelB AFUB_090600","extracellular region [GO:0005576]; pectate lyase activity [GO:0030570]; pectin lyase activity [GO:0047490]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]","GO:0005576; GO:0030570; GO:0045490; GO:0047490; GO:0071555",NA,NA,NA
"12","PELF_ASPFC","B0Y0L8","Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)","451804","B0Y0L8","DS499597","EDP51759.1","pelE","pelE AFUB_057770","extracellular region [GO:0005576]; pectate lyase activity [GO:0030570]; pectin lyase activity [GO:0047490]; cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]","GO:0005576; GO:0030570; GO:0045490; GO:0047490; GO:0071555",NA,NA,NA
