Genome feature ID,C..albicans...S..gordonii,S..gordonii...spent.C..albicans.medium,S..gordonii.only,C..albicans...S..gordonii.1,S..gordonii...spent.C..albicans.medium.1,S..gordonii.only.1,C..albicans...S..gordonii.2,S..gordonii...spent.C..albicans.medium.2,S..gordonii.only.2
ID_dnaA_p01_Parent_dnaA_t01_Dbxref_GI_157149691_GeneID_5599800_Note_binds_to_the_dnaA-box_as_an_ATP-bound_complex_at_the_origin_of_replication_during_the_initiation_of_chromosomal_replication_B_can_also_affect_transcription_of_multiple_genes_including_itself__codon_start_1_gene_dnaA_locus_tag_SGO_0001_product_chromosomal_replication_initiation_protein_protein_id_YP_001449323_1_transl_table_11_translation_length_450,5706,17281,11030,3781,6005,8896,7075,9919,8081
ID_dnaN_p01_Parent_dnaN_t01_Dbxref_GI_157151517_GeneID_5598169_eC_number_2_7_7_7_Note_binds_the_polymerase_to_DNA_and_acts_as_a_sliding_clamp_codon_start_1_gene_dnaN_locus_tag_SGO_0002_product_DNA_polymerase_III_subunit_beta_protein_id_YP_001449324_1_transl_table_11_translation_length_378,5393,15738,10119,2218,3545,6957,4110,5701,4287
ID_SGO_0003_p01_Parent_SGO_0003_t01_Dbxref_GI_157151188_GeneID_5599770_Note_identified_by_match_to_protein_family_HMM_PF06107_codon_start_1_locus_tag_SGO_0003_product_hypothetical_protein_protein_id_YP_001449325_1_transl_table_11_translation_length_67,839,2528,1792,662,564,1567,977,932,777
ID_SGO_0004_p01_Parent_SGO_0004_t01_Dbxref_GI_157150252_GeneID_5597802_Note_identified_by_match_to_protein_family_HMM_PF06998_codon_start_1_locus_tag_SGO_0004_product_putative_lipoprotein_protein_id_YP_001449326_1_transl_table_11_translation_length_172,7382,25544,19650,6237,13341,16540,5701,14290,8330
ID_SGO_0005_p01_Parent_SGO_0005_t01_Dbxref_GI_157150786_GeneID_5598735_codon_start_1_locus_tag_SGO_0005_product_hypothetical_protein_protein_id_YP_001449327_1_transl_table_11_translation_length_864,1005,3223,2221,396,1281,2504,732,1561,676
ID_SGO_0006_p01_Parent_SGO_0006_t01_Dbxref_GI_157150583_GeneID_5598596_Note_identified_by_match_to_protein_family_HMM_PF00005_codon_start_1_locus_tag_SGO_0006_product_ABC_transporter_ATP-binding_protein_protein_id_YP_001449328_1_transl_table_11_translation_length_540,2121,8737,5464,1565,3677,3323,1435,3615,2410
ID_trpS_p01_Parent_trpS_t01_Dbxref_GI_157150103_GeneID_5598950_eC_number_6_1_1_2_Note_catalyzes_a_two-step_reaction_2C_first_charging_a_tryptophan_molecule_by_linking_its_carboxyl_group_to_the_alpha-phosphate_of_ATP_2C_followed_by_transfer_of_the_aminoacyl-adenylate_to_its_tRNA_codon_start_1_gene_trpS_locus_tag_SGO_0007_product_tryptophanyl-tRNA_synthetase_II_protein_id_YP_001449329_1_transl_table_11_translation_length_340,3716,13595,8447,3408,4116,5665,2712,5368,3975
ID_SGO_0008_p01_Parent_SGO_0008_t01_Dbxref_GI_157150588_GeneID_5598251_eC_number_1_1_1_205_Note_catalyzes_the_synthesis_of_xanthosine_monophosphate_by_the_NAD+_dependent_oxidation_of_inosine_monophosphate_codon_start_1_locus_tag_SGO_0008_product_inosine_5'-monophosphate_dehydrogenase_protein_id_YP_001449330_1_transl_table_11_translation_length_493,10565,35801,26356,7793,12578,14478,8448,16992,10175
ID_recF_p01_Parent_recF_t01_Dbxref_GI_157149944_GeneID_5598943_Note_Required_for_DNA_replication_B_binds_preferentially_to_single-stranded_2C_linear_DNA_codon_start_1_gene_recF_locus_tag_SGO_0009_product_recombination_protein_F_protein_id_YP_001449331_1_transl_table_11_translation_length_361,743,2579,1941,462,776,1641,580,1058,903
ID_SGO_0010_p01_Parent_SGO_0010_t01_Dbxref_GI_157151552_GeneID_5598828_Note_identified_by_match_to_protein_family_HMM_TIGR02988_codon_start_1_locus_tag_SGO_0010_product_hypothetical_protein_protein_id_YP_001449332_1_transl_table_11_translation_length_130,365,1427,923,195,508,758,292,617,504
ID_SGO_0011_p01_Parent_SGO_0011_t01_Dbxref_GI_157150999_GeneID_5599686_Note_identified_by_match_to_protein_family_HMM_PF05193_codon_start_1_locus_tag_SGO_0011_product_M16_family_proteinase_protein_id_YP_001449333_1_transl_table_11_translation_length_415,3549,11289,8189,1685,4312,5585,2392,5705,4533
ID_mpp_p01_Parent_mpp_t01_Dbxref_GI_157150891_GeneID_5598171_Note_identified_by_match_to_protein_family_HMM_PF00675_B_match_to_protein_family_HMM_PF05193_codon_start_1_gene_mpp_locus_tag_SGO_0012_product_M16_family_peptidase_protein_id_YP_001449334_1_transl_table_11_translation_length_431,5261,17427,10486,4106,6815,9626,6538,10260,7889
ID_SGO_0013_p01_Parent_SGO_0013_t01_Dbxref_GI_157150301_GeneID_5598389_codon_start_1_locus_tag_SGO_0013_product_hypothetical_protein_protein_id_YP_001449335_1_transl_table_11_translation_length_276,4133,14908,8922,2162,3730,5136,3590,5891,4243
ID_pgsA_p01_Parent_pgsA_t01_Dbxref_GI_157150093_GeneID_5599470_eC_number_2_7_8_5_Note_identified_by_match_to_protein_family_HMM_PF01066_B_match_to_protein_family_HMM_TIGR00560_codon_start_1_gene_pgsA_locus_tag_SGO_0014_product_CDP-diacylglycerol--glycerol-3-phosphate_3-phosphatidyltransferase_protein_id_YP_001449336_1_transl_table_11_translation_length_179,3234,10789,7109,4853,4505,5435,5418,7017,6141
