,Complete 1,Complete 2,Complete 3,Fe 1,Fe 2,Fe 3,Mn 1,Mn 2,Mn 3,FeMn 1,FeMn 2,FeMn3
SMU_184,228,241,223,287,230,205,15548,15520,16748,31576,29102,39452
SMU_183,199,166,150,314,273,256,16215,16003,17997,32586,30140,40748
SMU_186,1117,1062,971,1192,1203,866,15802,16958,17840,30655,29721,39234
SMU_182,252,224,285,1883,1768,1315,13677,14645,15646,25517,23430,28613
SMU_770c,1146,1086,1051,1949,1719,1615,6774,7061,7984,10833,10431,12229
SMU_185,26,21,17,21,22,11,1479,1419,1644,3047,2854,3540
SMU_768c,397,409,394,392,356,275,1733,1583,1895,2813,2740,3136
SMU_1337c,3598,3270,3246,4362,3459,2610,1319,1241,1289,1119,1058,1365
SMU_1335c,7690,7068,6681,9799,7753,5895,2943,2946,2935,2801,2324,3166
SMU_1366c,8146,7653,7613,9132,8415,6293,3920,4527,3849,2727,3022,3687
SMU_609,865,770,902,1252,1114,847,3023,3452,2803,3808,3463,4445
SMU_1187,4883,4341,4158,5971,5137,4189,6689,6414,7281,13524,11686,16562
SMU_1347c,19589,17906,18343,23413,21786,15735,9018,9869,9011,6895,7424,9753
SMU_1517,7493,7230,6894,7953,6988,5837,4246,4416,4613,4815,4510,5782
SMU_1348c,8128,7671,7625,9064,8429,6637,3975,4684,3768,2702,2967,3692
SMU_769,1084,1011,971,872,751,665,2025,2060,2040,2620,2480,2906
SMU_1339,33397,27354,29094,40948,31329,24290,11928,10452,11470,9827,8206,11588
SMU_1091,5057,4989,4887,5620,5626,4205,3024,3153,2889,2598,2506,3326
SMU_1286c,1166,1072,983,1501,1196,907,518,550,502,400,324,479
SMU_1336,4778,4102,4169,5896,4655,3492,1719,1517,1785,1603,1421,1848
SMU_1365c,21914,19570,20187,25823,23857,17099,9979,11082,9914,7605,8416,11035
SMU_910,22206,19885,19609,25903,25318,17776,7156,7475,7782,9814,8836,13030
SMU_1342,47032,36623,38237,53408,42408,36464,18919,15972,14910,12451,11021,15637
SMU_1062,29111,28619,26706,34930,32094,27030,12942,13409,15931,13269,11374,14573
SMU_1755c,820,711,691,857,879,725,3254,3841,3839,3565,3810,5806
SMU_1758c,1760,1688,1623,1997,1853,1629,7139,9286,8382,7587,7621,12036
SMU_1753c,1187,1189,1099,1335,1338,1099,4932,6135,6260,5597,5789,8949
SMU_1284c,762,728,664,899,842,622,331,405,314,282,235,335
SMU_1334,4423,3881,3915,5384,4419,3349,1765,1472,1746,1688,1431,1871
SMU_29,3390,3162,2802,2889,2944,1851,1234,938,924,715,566,699
SMU_1340,40008,31308,35002,50827,36543,29641,15443,14204,13439,11877,9780,13890
SMU_1928,7848,6850,6743,9249,8146,6550,4627,5428,4936,4601,4149,5531
SMU_205c,20027,16464,16690,19492,18250,13297,3303,4474,5762,1152,1752,2178
SMU_71,1811,1757,1591,2232,1859,1467,1077,1077,1066,1039,1017,1303
SMU_1341c,25079,18697,21347,30964,22575,19741,10401,9651,8929,7564,6290,8769
SMU_1063,19569,19844,18303,23941,22745,19050,8662,9156,10788,8664,7311,8796
SMU_1761c,2949,2886,2714,3309,3381,2874,11358,14003,13581,11772,12178,19392
SMU_2028,21314,19439,18765,22670,23174,16626,5542,6801,7148,6068,5964,9260
SMU_1760c,2420,2465,2303,2766,2800,2372,10240,13873,11751,10292,10523,16363
SMU_1437,7172,6706,6206,8194,7428,5319,4178,4524,4255,4269,4113,4939
SMU_1338c,6770,5756,5827,8283,6481,4848,2424,1967,2455,2263,2017,2687
SMU_1762c,821,730,766,889,865,788,2959,3183,3284,2848,3014,4581
SMU_1754c,1344,1235,1259,1501,1474,1256,5794,7572,6984,5813,6234,9841
SMU_1764c,6294,6222,6052,6769,7009,6140,25370,33111,30614,24292,25704,39183
SMU_532,1250,1187,1088,1547,1428,1115,781,853,874,794,729,911
SMU_1343c,22168,17564,17277,22978,20206,13585,8880,8609,6538,5429,4545,6539
SMU_1516,10812,10442,9776,12876,11148,9153,6532,6560,6792,7285,6983,9529
SMU_992,3001,2754,2666,3663,3144,2558,1046,977,1266,1369,1312,1696
SMU_121,5082,4785,4734,6067,5808,4509,2114,2474,2639,2216,2131,3161
SMU_1595,1469,1411,1378,1671,1567,1139,997,1070,978,931,855,1079
SMU_697,9915,9435,8862,10128,9346,6809,6802,6882,6774,6861,6420,8084
SMU_1367c,6283,6333,6243,7343,6895,5843,3104,3373,3480,2206,2666,3473
SMU_1757c,818,740,689,837,800,722,3421,4653,3978,3527,3656,5768
SMU_1515,7367,7206,6714,8716,7506,6489,4637,4937,4795,5299,5168,6632
SMU_307,16196,15127,14569,20286,18668,14868,19313,20668,20865,26553,26575,34411
SMU_1763c,2102,2086,1935,2297,2271,1957,8028,10885,9519,8291,8475,13598
SMU_1660c,1139,1033,1000,1359,1269,994,1414,1465,1443,1943,1896,2292
SMU_961,5850,6631,5278,8861,7891,7871,1158,1767,2177,761,847,1014
SMU_318,5726,5230,5002,7369,6749,5092,6988,6692,7092,10479,9841,13827
SMU_109,907,814,767,1052,1006,783,535,563,520,468,493,620
SMU_2159,5680,5209,5089,6489,6246,4911,6681,6993,6712,9222,9210,11578
SMU_335,2550,2284,2119,2635,2368,1691,1713,1638,1593,1343,1275,1722
SMU_20,4073,3806,3626,4609,4122,3316,2765,2960,3247,2641,2510,3234
SMU_1996,1884,1604,1629,1951,1822,1476,2556,2797,2519,3486,3507,4077
SMU_2066c,7015,6581,6460,9544,8418,7099,7289,7869,7628,12539,10966,15811
SMU_1659c,3211,2831,2805,3776,3700,2681,4405,4576,4524,5713,5887,7027
SMU_218,1936,1837,1784,2086,2042,1861,809,760,936,770,819,939
SMU_1345c,17092,13644,13305,17953,15938,9317,6976,6428,5080,3775,3392,4641
SMU_971,1905,1753,1594,2378,2052,1685,2193,2269,2128,3408,2957,3990
SMU_744,3937,3765,3649,5064,4571,3645,5597,5776,5154,7178,6586,8238
SMU_2026c,7745,6758,6629,8392,7474,6097,5056,5052,5093,5016,4424,6409
SMU_984,379,318,354,443,421,284,1220,1099,928,1388,1290,1525
SMU_346,1045,980,921,1229,1107,948,609,623,631,722,638,855
SMU_418,9178,8513,8203,11177,10370,7560,5333,5906,5898,6330,5492,7428
SMU_368c,12798,12194,11324,15482,13981,10342,15591,15971,14594,23914,21150,28667
SMU_678,599,587,559,740,599,551,382,399,355,328,322,420
SMU_728,1052,931,945,1219,973,850,1629,1571,1587,1979,2024,2396
SMU_883,2224,1902,2116,3057,2646,2278,2296,2643,2799,5042,4497,6539
SMU_1086,5846,5198,4818,5924,5287,4202,3573,3816,3546,3713,3345,3824
SMU_2056,2766,2601,2313,3332,3170,2537,3562,3909,3583,4864,4343,5907
SMU_417,2670,2497,2419,3098,2904,2140,1520,1741,1746,1797,1651,2058
SMU_670,4579,4459,3841,4562,4755,3520,7651,7403,7671,12255,9661,12492
SMU_962,14769,17456,13157,27928,24719,25338,3279,4632,6179,2096,2313,3222
SMU_1344c,7262,5748,5626,7625,6393,3980,2936,2405,2109,1691,1505,2194
SMU_1436c,2968,2774,2607,3610,3270,2384,1742,1760,1712,1972,1944,2478
SMU_955,8311,7534,7516,11687,10508,7633,9342,9366,9636,14400,13265,17275
SMU_774,1794,1765,1692,2259,1817,1659,2822,2670,2625,3495,3381,4210
SMU_217c,16819,16348,15918,18433,19105,17072,1688,2471,3716,934,1397,2247
SMU_1564,6343,5530,5674,7513,6935,5261,6290,6930,7315,11305,10556,14343
SMU_1172c,2683,2435,2357,3242,2783,2122,3278,3498,3248,4422,4324,5773
SMU_672,2674,2453,2215,2479,2739,2261,4348,4722,4535,7752,6162,7816
SMU_1568,3159,2887,3190,4056,3828,2897,4547,5575,5685,7470,6820,9117
SMU_591c,1186,1075,1037,1292,1157,940,767,772,884,742,687,896
SMU_882,1178,991,1033,1567,1479,1272,1132,1280,1420,2763,2334,3214
SMU_1404c,878,754,811,1064,934,749,1234,1314,1347,1544,1484,1833
SMU_1072c,471,472,466,595,463,393,235,208,183,195,143,233
SMU_1405c,3444,2957,3154,4404,3929,2967,4781,5316,5349,6311,5849,7175
SMU_611,29699,27160,24846,31028,27646,20557,20577,21869,19936,19756,18975,24154
SMU_1704,456,429,440,429,416,354,662,786,902,1348,1152,1559
SMU_970,1182,1139,1048,1564,1303,1091,1433,1479,1445,2266,1986,2432
SMU_1706,2598,2626,2582,2905,2426,2375,3982,3990,4779,6708,6535,9305
SMU_1896c,3866,3695,3636,4261,4436,3349,1135,1428,1517,1583,1553,2353
SMU_2074,9095,8421,8243,10947,10188,7559,9655,11455,10247,20274,23747,23978
SMU_671,2181,1969,1736,2151,2279,1671,3508,3723,3474,6071,4510,6094
SMU_209c,4261,3771,3779,4619,4505,3626,942,1236,1547,553,793,1240
SMU_1590,4959,4744,4550,6472,5467,4800,2575,2862,2980,3611,3165,4192
SMU_1356c,540,547,499,627,530,448,316,292,264,299,295,326
SMU_334,3181,3080,2992,3461,3386,2318,2454,2561,2617,2138,2008,2611
SMU_387,1974,1987,1826,2517,2116,1814,2686,2638,2572,3393,3136,4099
SMU_305,2346,2050,2088,2764,2519,1953,3058,3546,3209,3817,3647,4732
SMU_626,312,270,265,325,305,224,188,195,182,142,161,184
SMU_419,1592,1382,1388,1882,1618,1243,946,988,1025,1073,1001,1313
SMU_488,2592,2395,2326,3025,2816,2124,3275,3088,3020,4331,4354,5329
SMU_2065,2931,2891,2652,3959,3544,2841,3097,3376,3386,5066,4815,6977
SMU_1603,2229,2264,2273,2651,2366,2260,3618,3614,3392,4694,4737,5852
SMU_530c,3415,3169,2892,3394,3147,2289,3025,3091,3084,2426,2342,2884
SMU_985,1359,1303,1218,1606,1540,1198,1999,1955,1803,2463,2366,2831
SMU_1173,4904,4105,4197,5900,5039,3836,5336,5773,5716,7928,7731,10400
SMU_1703c,5210,5003,4614,5997,4400,4408,4376,3545,3638,2164,2182,2947
SMU_679,643,573,552,724,592,559,398,393,418,383,358,433
SMU_1346,5901,4682,4702,6340,5671,3126,2525,2624,1893,1472,1320,1774
SMU_202c,5496,4656,4938,5965,5492,4233,1219,1680,1956,764,1088,1756
SMU_2076c,206,174,205,204,204,160,76,61,79,69,76,90
SMU_1354c,500,486,485,643,608,519,303,337,303,312,285,400
SMU_104,4190,3508,3617,3615,3233,2408,1767,2361,1985,2317,2053,2612
SMU_880,687,596,651,922,904,737,658,767,814,1577,1349,2038
SMU_1772c,874,850,849,1109,952,765,595,564,636,612,551,676
SMU_1997,413,406,365,503,460,425,198,220,211,170,205,254
SMU_194c,893,778,786,988,913,743,252,277,374,157,233,335
SMU_598,4796,4390,4030,5944,5129,3879,6510,6418,6170,7856,8353,10754
SMU_1705,884,921,912,1120,883,832,1298,1333,1632,2422,2319,3555
SMU_636,5918,5581,5379,5270,5388,3547,7631,8145,7820,3188,3437,4482
SMU_180,6209,5552,5642,7825,7457,6369,6065,7388,7700,12232,11865,16102
SMU_1246c,1037,932,904,1254,1181,860,642,698,691,696,666,888
SMU_1434c,6535,5989,5457,7605,6830,4974,3911,4077,3738,4537,4274,5614
SMU_1975c,3743,3506,3343,4798,4326,3589,4249,4071,4712,6501,6934,9011
SMU_977,1218,1182,1088,1578,1309,1055,1598,1695,1438,2236,2148,2607
SMU_1949,5877,5362,5141,6942,6790,5057,8913,10382,8697,10301,10137,12161
SMU_220c,5958,5523,5403,7117,7054,6288,3099,3022,3547,3200,3355,4118
SMU_487,758,653,670,901,852,605,842,952,897,1299,1311,1575
SMU_1363c,5524,5549,5693,6795,6339,5129,2782,3392,3247,2357,2802,3888
SMU_1509,713,610,631,691,703,558,1002,1003,892,1329,1347,1579
SMU_296,3438,3439,3276,4173,4071,2981,1724,1888,2180,1690,1865,2532
SMU_16,2689,2623,2500,2997,2523,2223,1820,1794,2014,1796,1849,2357
SMU_215c,2882,2961,2975,3519,3703,3088,386,598,804,292,462,772
SMU_531,295,337,275,350,308,238,202,211,191,181,147,190
SMU_102,1546,1227,1371,1289,1164,791,698,857,764,819,762,951
SMU_1094,299,289,272,386,309,268,146,173,166,175,131,204
SMU_954,9608,8517,8572,12336,11098,7980,10472,10942,10839,16594,14484,18240
SMU_673,1894,1854,1659,2137,1928,1733,2657,2919,2626,4072,3210,4264
SMU_1111c,1705,1509,1529,2012,1708,1361,1154,1115,1082,1251,1156,1369
SMU_133c,921,955,840,1162,820,849,514,552,553,516,453,628
SMU_370,250,245,240,288,277,232,332,340,310,466,442,576
SMU_1395c,89,95,93,87,67,76,40,27,29,27,23,32
SMU_1683c,1563,1474,1373,1898,1756,1386,2257,2074,2039,2671,3001,3586
SMU_213c,2332,2286,2292,2620,2800,2265,272,488,636,189,268,553
SMU_100,683,614,684,829,669,534,308,427,377,355,355,424
SMU_204c,2333,1916,1898,2379,2191,1713,446,502,785,239,416,639
SMU_877,1572,1322,1437,2170,1942,1506,1452,1841,1843,3524,2802,4095
SMU_878,906,815,877,1343,1262,986,895,1129,1152,2150,1698,2520
SMU_30,13635,11793,10526,13770,14129,7546,6065,5571,4741,4996,3850,5697
SMU_836,880,840,709,1165,955,770,592,656,659,591,530,654
SMU_1073,13395,14176,12237,16057,12437,11407,9114,6844,6259,6384,4956,6154
SMU_876,415,355,385,498,488,393,381,390,448,848,735,920
SMU_637c,702,676,637,661,681,446,726,814,774,389,396,550
SMU_201c,6250,5137,5332,6586,6011,4661,1433,1823,2345,887,1373,2225
SMU_375,305,303,293,406,370,288,353,382,361,633,511,680
SMU_881,1339,1184,1291,1918,1800,1433,1254,1573,1725,3288,2592,3809
SMU_956,28942,26178,26324,43126,39427,28423,29535,31832,32311,50508,42209,58620
SMU_216c,4815,5041,4974,5782,6283,5222,657,1058,1492,506,767,1353
SMU_489,912,871,803,1059,1011,760,1199,1204,1058,1507,1522,1907
SMU_486,1193,975,1003,1421,1507,936,1438,1425,1433,2181,2170,2730
SMU_219,2203,2065,2005,2431,2313,2141,1130,1029,1283,1209,1267,1536
SMU_1093,657,599,528,824,672,510,339,417,398,386,348,397
SMU_625,191,150,153,203,195,124,96,123,110,80,71,90
SMU_48,7789,6740,6284,8130,7813,5031,4882,4280,3828,4006,3094,4478
SMU_2055,594,529,567,875,892,648,916,978,933,1029,943,1219
SMU_1412c,5285,4668,4592,6147,6109,4483,6713,7761,6774,8400,8301,9951
SMU_210c,4149,3716,3752,4251,4294,3318,988,1581,1871,630,940,1478
SMU_727,292,285,272,391,318,280,483,447,411,542,553,691
SMU_208c,18785,16025,16568,20141,19322,15131,4100,5664,6939,2841,4156,6865
SMU_592c,480,423,418,514,471,359,305,311,326,336,304,425
SMU_1707c,2560,2320,2228,3282,3014,2547,2076,2054,2397,1836,1656,2192
SMU_1055,1099,964,928,1315,1108,860,673,707,765,723,666,949
SMU_2081,3112,2924,2759,3423,3251,2819,2157,2134,2250,1863,2104,2636
SMU_82,5500,5254,5309,7875,7420,9205,12912,12158,11576,19121,15774,27174
SMU_214c,2725,2563,2634,3183,3256,2628,365,497,801,286,437,868
SMU_879,673,562,651,929,870,696,597,704,825,1434,1274,1852
SMU_1052,1809,1663,1681,2242,1884,1580,2690,2431,2274,3129,3140,3680
SMU_941c,1120,1036,974,3811,3438,3287,2486,2756,4847,4797,4728,7064
SMU_1398,2884,2601,2668,3359,3296,2820,2906,3328,3540,4897,5059,6185
SMU_1037c,1642,1633,1637,2171,1844,1792,2189,2491,2561,2999,2961,3781
SMU_373,229,216,223,283,270,206,268,307,263,449,379,524
SMU_855,2130,1725,1681,2337,2149,1653,3124,3219,2752,3582,3350,3967
SMU_191c,3743,3218,3398,4088,3883,3022,1162,1363,1892,930,1142,1912
SMU_1927,1422,1218,1169,1571,1426,1131,745,958,858,917,893,1133
SMU_1642c,816,753,650,995,886,724,490,556,566,558,529,601
SMU_917c,1094,978,936,2377,1450,1769,656,648,645,403,264,455
SMU_193c,873,697,799,865,871,637,214,302,357,135,189,359
SMU_195c,1542,1288,1357,1727,1582,1253,370,523,704,235,395,564
SMU_199c,2225,1776,1802,2241,2047,1623,535,681,840,352,568,912
SMU_1745c,14727,13120,12397,13059,11766,8761,8999,9672,10529,9958,10072,10919
SMU_915c,1462,1286,1268,3175,2050,2563,920,873,804,575,376,615
SMU_196c,7344,6132,6290,8202,7402,5868,1995,2973,3148,1488,1973,3471
SMU_132,11861,13060,11472,15941,9879,10737,6690,6492,6481,6855,4902,5963
SMU_212c,1076,1067,1100,1344,1330,1147,242,221,400,135,220,417
SMU_1602,2151,2247,2069,2479,2019,2020,2770,2392,2702,4177,4310,5190
SMU_906,3464,2910,2972,3865,3416,2409,2190,2529,2242,2387,2204,2868
SMU_1685c,960,831,840,1101,907,706,1113,1199,1141,1458,1592,1832
SMU_983,399,318,347,452,400,295,474,463,487,656,587,817
SMU_1977c,2545,2287,2331,3923,3516,2886,2957,3310,4046,4603,4596,6037
SMU_680,245,256,227,292,241,211,166,173,191,174,132,187
SMU_905,2810,2561,2478,3461,3097,2117,1769,2015,1849,2077,1796,2416
SMU_211c,4040,3871,3917,4627,4721,3924,768,1232,1625,511,864,1433
SMU_420,1664,1374,1515,1970,1737,1288,967,1113,1073,1202,1025,1372
SMU_200c,2637,2152,2237,2657,2496,1892,576,1029,1062,438,619,1072
SMU_207c,9357,7989,8118,10023,9397,7416,2350,3216,3889,1636,2424,4249
SMU_1056,189,167,178,221,192,176,102,93,108,107,89,144
SMU_103,657,526,592,563,494,419,276,403,337,380,302,423
SMU_371,233,194,228,317,260,213,267,306,320,418,398,517
SMU_914c,1176,1112,968,2492,1629,2031,769,768,731,532,369,558
SMU_198c,15371,12193,13083,16028,14746,11709,3656,4921,6082,2764,4076,6724
SMU_206c,3577,3211,3191,3793,3616,2964,959,1392,1718,705,1004,1722
SMU_1983,85,88,99,86,78,79,41,47,59,31,38,45
SMU_666,951,1024,916,1205,873,839,733,803,719,690,636,742
SMU_197c,13396,10513,11005,14336,12997,10307,3443,4570,5405,2668,3693,6371
SMU_81,744,753,724,1149,1054,1285,1232,1335,1545,2323,2003,3670
SMU_613,1268,1173,1037,1506,1361,992,808,695,836,788,779,1043
